"date,""lead_name"",""business"",""area"",""phone_or_link"",""channel"",""status"",""next_action"",""next_date"",""notes"",""lead_id"""
"2026-03-05,""A.alico.LLC"",""A.alico.LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aalicollc-182855"",""UAE0918"""
"2026-03-05,""A1 Tools FZE"",""A1 Tools FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a1-tools-fze-180761"",""UAE0919"""
"2026-03-05,""AAABC"",""AAABC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aaabc-185252"",""UAE0920"""
"2026-03-05,""AAAP Business Services FZE"",""AAAP Business Services FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aaap-business-services-fze-191165"",""UAE0921"""
"2026-03-05,""AAB Electricals"",""AAB Electricals"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aab-electricals-170101"",""UAE0922"""
"2026-03-05,""AAB Electricals"",""AAB Electricals"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aab-electricals-170101"",""UAE0923"""
"2026-03-05,""Aadiyogi FZC"",""Aadiyogi FZC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aadiyogi-fzc-190550"",""UAE0924"""
"2026-03-05,""Aal Group Ltd"",""Aal Group Ltd"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aal-group-ltd-136303"",""UAE0925"""
"2026-03-05,""Aal Mir Plastic Industries LLC"",""Aal Mir Plastic Industries LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aal-mir-plastic-industries-llc-120980"",""UAE0926"""
"2026-03-05,""Aalmir Plastic Industries LLC"",""Aalmir Plastic Industries LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aalmir-plastic-industries-llc-125968"",""UAE0927"""
"2026-03-05,""Aaly Qadar Hardware &amp"
"2026-03-05,""Aaly Qadar Hardware &amp"
"2026-03-05,""Aamer And Amma Motors Middle East FZC"",""Aamer And Amma Motors Middle East FZC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aamer-and-amma-motors-middle-east-fzc-189511"",""UAE0930"""
"2026-03-05,""Aamer And Amma Motors Middle East FZC"",""Aamer And Amma Motors Middle East FZC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aamer-and-amma-motors-middle-east-fzc-189511"",""UAE0931"""
"2026-03-05,""Aarvi Encon Private Ltd"",""Aarvi Encon Private Ltd"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aarvi-encon-private-ltd-103563"",""UAE0932"""
